Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample274,0.00739293818369779,0,0,0.760897227146294,0,0,0,0.0210948997081828,0.056586077046551,0,0.057839477672148,0.0493856134882648,0.0333404090607967,0,0.00318880711172406,0.0102745505823411,0,0,0,0,0,0,0,0.689948602726362,0.735547117491902
sample275,0.0362576899773491,0.0477210433192898,0.00015420483376351,0.0587172380992297,0.268889970306536,0.271114037581518,0,0,0.00176706778752881,0,0,0.0287447114826899,0.229852435816343,0,0,0.0184368708774466,0,0.0249908927135472,0.0133538372047589,0,0,0,0,0.705093997803901,0.724824521825683
sample276,0,0.0566612626916653,0.03578483520361,0.107293001442186,0.0775847828780522,0,0.00473761420192534,0,0,0,0.0200122125669592,0.00681747762135104,0.389974002620965,0,0,0.242352544400559,0,0.0196122156081006,0.0379180523360321,0,0.00125199842859424,0,0,0.472178292156449,0.88061373057846
sample277,0.302841585439526,0.338369753539864,0.0392209092332529,0.132315967633199,0.115019822759923,0,0,0,0.0318371051558989,0,0.00127710180227885,0.00688420218105009,0.0134755814949023,0,0,0.00134569428278097,0.00502591741317117,0.00984686999287878,0,0,0.00253948907127401,0,0,0.759619812419204,0.649894297381748
sample278,0,0.00592117508024663,0.00580619032250509,0.403417251748679,0.0612674968792238,0.296229590608336,0,0,0,0,0,0.0518121885047415,0.0913368549044774,0,0,0.0391157781464787,0.031012761230909,0.00456149232695454,0.00951922024744828,0,0,0,0,0.760625163326983,0.656681066188316
sample279,0.249809821304053,0.463237009690675,0.0604741422424601,0,0,0.00656016178586956,0.0195210528558913,0,0,0.00216924488347794,0,0.0105776232464464,0.104470997065198,0.0136093923320759,0,0.0422662092477427,0,0.0165043935014835,0.0107999518446266,0,0,0,0,0.82259311784414,0.569313081424123
sample280,0.108307345357337,0.0811020048652716,0.00554192277926112,0.297516811556349,0.359554181486814,0,0.0135336474716817,0,0.0792436490237356,0,0,0.00816286434086416,0.0381569432876252,0.00358006100810872,0,0.000392282439955015,0,0.00262415289154164,0.00228413349145503,0,0,0,0,0.696251942279373,0.717796684719397
sample281,0,0.0232129658059123,0.0431417558333275,0.391993795103453,0,0,0.0298695688226986,0,0,0,0.0963065183154332,0.0489465966773859,0.242995532477611,0,0,0.0772221605523511,0,0.0120493754091595,0.0342617310026672,0,0,0,0,0.678125570733794,0.748801723902324
sample282,0,0.0133520269645939,0.00707171042632921,0.200406779229432,0,0.453060563959801,0,0,0,0.109752210540409,0,0.092807065459818,0.0181340973909735,0.0072903644388342,0.000583525139495787,0.0250186783002374,0.00497357669860687,0.00295467795857061,0.0581586949014674,0,0,0.00643602859143115,0,0.694036990831371,0.719786925809411
sample283,0.02153634667448,0.102125762160023,0,0.29829648271825,0.199661138310722,0.130865535835561,0,0,0.0182098707007332,0,0,0.0607669091209892,0.125285593564124,0.00141610905598721,0,0.0144321490325783,0,0.00113830912013047,0.0262657937064224,0,0,0,0,0.578089395976646,0.815067052421531
sample284,0.190359240362865,0.33192494389764,0.0439048172172262,0,0.159488589383805,0.102288983619803,0.0668963694513275,0,0.0248759306425681,0,0,0.00918299541223494,0.0122668746847066,0,0,0.0353641795993576,0,0.00488368249676604,0.0164289734691926,0,0.00213441976250762,0,0,0.713247603370105,0.702929521842164
sample285,0,0.00923548304149434,0.0144892969907701,0.219551749393077,0,0.497101303138333,0,0,0,0.101525085007471,0,0.0648872239583569,0.0154782027431955,0.00933651770968173,0.00118525076627336,0.0136763386024628,0.00483201278199898,0.00246796058456702,0.0412254710159399,0,0,0.00500810426637853,0,0.730614486578384,0.683511315138447
sample286,0.00626293679075153,0,0.00617984648464807,0.157066963031723,0,0.0437050290612321,0.0314539227805909,0.00322342114934765,0.00576100817909104,0,0.0363874025021644,0.0731633541706914,0.45236760798741,0,0,0.0976639300873709,0,0.0103128933851468,0.0764516843898321,0,0,0,0,0.700556536478837,0.737628394374788
sample287,0,0.0926895255929439,0.219097333726009,0.0656039200640702,0.204883194011865,0.0726564957785659,0.127360584280133,0,0.01857931082505,0,0,0.01227134359149,0.0239133377888693,0,0,0.120546141465747,0,0.00886862088799547,0.033530191987261,0,0,0,0,0.534196584718161,0.846665636683943
sample288,0.0962936474947283,0.0241220925218052,0.0135350799871535,0.457416242172289,0,0.180269106674223,0,0,0.00390321476378624,0,0,0.132608680927012,0.0232345603021922,0,0,0,0.00303725699220932,0.0107441085715095,0.0548360095930918,0,0,0,0,0.758971559026484,0.6575458236866
sample289,0,0.0402987076112905,0.0909659343991839,0.173157169672176,0,0.248818670882404,0.0264448893681169,0,0,0.167237870918111,0,0.0814972471286991,0.0512771922096529,0,0,0.0918717357302446,0,0.00407788437526912,0.0243526977048511,0,0,0,0,0.666068753050684,0.751408627767994
sample290,0,0.0111358996066499,0.0109704872001488,0.356763731575152,0,0.327782407805178,0,0,0.0250295071096609,0,0,0.114210459134221,0.0602007398360745,0.0195378191260481,0.00196584988808398,0.0110891959857889,0.0065067101811264,0,0.0525601763207177,0,0,0.0022470162311491,0,0.723920741540667,0.692335014745231
sample291,0,0.0964560861808684,0.0250883044934032,0.0524603018680053,0.0462355367781602,0.0254660494350754,0.0073826356259305,0,0,0,0.000284484020311036,0.0195664365862494,0.279353408049655,0,0,0.264366593150258,0.11727098127307,0.0293730237989145,0.0366961587400989,0,0,0,0,0.51154313300002,0.863099045961363
sample292,0,0.0112132737634299,0,0.372162763505685,0.368404503295015,0,0,0,0.0223753767763094,0,0,0.0252996905690548,0.148895412570003,0,0,0.0162826354159985,0,0.0195521971911297,0.015814146913375,0,0,0,0,0.667984446264168,0.743384904973408
sample293,0,0.0214472933052437,0,0.0912516478209317,0.180059794972756,0.0146500997062977,0,0,0.0374913468231485,0,0,0.0179672973712587,0.534688140359504,0,0,0.0408246594556858,0,0.0266337829789525,0.0332119240771226,0,0.00177401312909891,0,0,0.737131233224083,0.700487608678909
sample294,0,0,0,0.675574304433528,0,0.0167781500870471,0,0,0.0742064396329224,0,0.0196426179340455,0.0868469982950454,0.0622776579784378,0,0,0.0144188159212704,0.0129562835074048,0,0.0372987322102981,0,0,0,0,0.770087602686841,0.640023630587477
sample295,0,0.00984714491269342,0.000807706866958881,0.354038605279693,0.146128983518209,0.161207483611394,0,0,0,0,0,0.0683418389977712,0.189590579360899,0,0,0.0257912797964582,0,0.0234526717157297,0.020793705940194,0,0,0,0,0.624411199789107,0.780419164434699
sample296,0.18476723711707,0.191696106743502,0.00904600095831387,0.0399298187774388,0.207293892783451,0.0513024235618405,0.0122197375622011,0,0.0817918211173462,0,0,0.00514464119751063,0.147263392014861,0.0120453857797057,0,0.0285737924728752,0,0.0241591008457111,0,0,0.00404686980920418,0.000719779258968459,0,0.717353685370436,0.714848080761147
sample297,0,0.0161016569345093,0,0.387812963828986,0,0.418271467215415,0,0,0,0,0,0.101033128025191,0.00893821844039192,0.0149023660182881,0,0,0.00235553304009469,0.00290552888407967,0.045061383040467,0,0,0.00261775457257819,0,0.794310224911963,0.611001406974185
sample298,0,0.0679258640299429,0.0164883581030544,0.300124921700382,0,0.0030793860399913,0.0500117068635534,0,0.00971371171925922,0,0.0896714609590538,0.0540727893595851,0.13160436252305,0,0,0.0926243694378018,0.102710771415973,0.00964642052112171,0.0597021807235941,0,0.0126236966036368,0,0,0.591216977577339,0.815647102119604
sample299,0.142279719116121,0.208015945618919,0.0115584279812616,0.0796070368914678,0.24872486784692,0.0825314488972693,0.00549242988177977,0,0.0441122963969989,0,0,0.00678645088930896,0.070368158561268,0,0,0.0434186505823614,0.0233621563440125,0.0200331001112295,0.00872091371940063,0,0.00498839716168067,0,0,0.68732632137805,0.73653399739723
sample300,0,0.0767183441010912,0.0982357847944427,0.101725500934785,0.188573986656955,0,0.0619301048407289,0,0,0,0,0.00171560406722688,0.304618638928329,0,0,0.116809248905188,0,0.00698267595137135,0.0369770764110564,0,0.00571303440882583,0,0,0.59533197521823,0.818706348487123
sample301,0,0.0467246417248762,0,0.0346424980091613,0.16280392553223,0.0931123554043274,0.00579218544774561,0,0.0334902863067647,0.000668127435599263,0,0.0052764231412035,0.379713468278124,0,0.00312030194100986,0.138279807553357,0.0324482726538908,0,0.0639277065717099,0,0,0,0,0.6024725798512,0.808279222563848
sample302,0,0.00977695203911989,0,0.608272594487263,0,0.0160880204857531,0,0.0378515356520675,0.0571948213765791,0,0.0518689804814523,0.107906197339858,0.0495158241141566,0,0.00318709154837733,0.0224577436523039,0.00682556310536406,0,0.0290546757177056,0,0,0,0,0.708023599630359,0.70842612894414
sample303,0.152795607974448,0.171685584498017,0.0326193738873787,0.327592195386843,0.149982853602059,0,0,0,0.0242100078246468,0,0,0.0551652581429454,0.0393386880506912,0,0,0.000930059149313733,0.0085194502049257,0.0127914017934868,0.0222256785324527,0,0.00214384095279322,0,0,0.723420178288751,0.699719661338205
sample304,0,0.0152819841787416,0.0463736526469551,0.1240821151734,0,0.536287235225859,0,0,0,0.130809150185265,0,0.0520383620395439,0.0104963617362964,0,0,0.0469712096409954,0,0.00406453984901346,0.0335953893239296,0,0,0,0,0.722300097232458,0.694323957140717
sample305,0,0.0681209463833992,0.0817329421116637,0.354566770189845,0.140449227714685,0,0.0446436560116407,0,0.00114352082698091,0,0.0179133716110263,0.0512671143190803,0.110551283974833,0,0,0.0813317094878993,0,0.0115994328100837,0.0366800245588624,0,0,0,0,0.603057401022372,0.801332722560633
sample306,0,0.135465067158678,0.0339822660130546,0.0604953322671041,0.0415391663202955,0.0552471208076503,0,0,0,0.020806722614048,0,0.0119397654737946,0.233153607632247,0,0,0.236604289111051,0.0986219210928918,0.0324925857759302,0.0316633644905519,0,0.00798879124270256,0,0,0.527765391227794,0.857266149091324
sample307,0.206433974643611,0.286346825826088,0.0594525467212495,0.219876087386777,0,0,0,0,0.0331795817710058,0,0,0.0521199254365182,0.0784732462941707,0.0136013578161594,0,0.0173693621302361,0,0.0178962201105946,0.0152508718635895,0,0,0,0,0.749403546685326,0.671624383642781
sample308,0,0.0466337540171423,0,0.180300598657811,0.0186951049900113,0,0.043171085103122,0,0.0135880488632999,0,0.0228738190192065,0.061127222515606,0.295949014970464,0,0,0.203452672437276,0.0518873789843399,0,0.0623213004417208,0,0,0,0,0.597662738387496,0.815919809933811
sample309,0,0.251816590045263,0.167474671773363,0.0422970045118147,0.0826347658808585,0.122192246947186,0.0613975437010079,0,0,0.0237754821988574,0,0.011613325382801,0.0365112266005059,0,0,0.16245462475554,0,0.0104142120249977,0.0274183061778052,0,0,0,0,0.610789098824658,0.799861968674036
